,Symbol,Type
784,MXIM,SP500
785,MXIM,NASDAQ
786,NAVI,GAINERS
787,NCLH,ACTIVES
788,NCLH,SP500
789,NDAQ,SP500
790,NEE,ACTIVES
791,NEE,SP500
792,NEM,SP500
793,NEM,ACTIVES
794,NFE,GAINERS
795,NFLX,NASDAQ
796,NFLX,SP500
797,NG,GAINERS
798,NI,SP500
799,NIO,ACTIVES
800,NIO,TRENDING
801,NIO,GAINERS
802,NKE,SP500
803,NKE,ACTIVES
804,NKE,DJI
805,NKE,LOOSERS
806,NKLA,GAINERS
807,NLOK,SP500
808,NLSN,SP500
809,NLY,ACTIVES
810,NMIH,LOOSERS
811,NNDM,ACTIVES
812,NNN,LOOSERS
813,NNOX,GAINERS
814,NOC,SP500
815,NOK,ACTIVES
816,NOKPF,GAINERS
817,NOV,SP500
818,NOV,LOOSERS
819,NOVA,GAINERS
820,NOW,SP500
821,NPSNY,GAINERS
822,NQ=F,TRENDING
823,NRG,SP500
824,NRG,ACTIVES
825,NSA,LOOSERS
826,NSC,SP500
827,NSTG,GAINERS
828,NTAP,SP500
829,NTCO,GAINERS
830,NTES,GAINERS
831,NTES,NASDAQ
832,NTLA,GAINERS
833,NTRA,GAINERS
834,NTRS,SP500
835,NUAN,GAINERS
836,NUE,SP500
837,NVAX,GAINERS
838,NVDA,NASDAQ
839,NVDA,SP500
840,NVR,SP500
841,NVTA,GAINERS
842,NWAU,GAINERS
843,NWL,SP500
844,NWS,SP500
845,NWSA,SP500
846,NXPI,ACTIVES
847,NXPI,NASDAQ
848,O,SP500
849,OCDX,ACTIVES
850,OCDX,GAINERS
851,ODFL,SP500
852,OKE,SP500
853,OKTA,NASDAQ
854,OLLI,GAINERS
855,OMAB,LOOSERS
856,OMC,SP500
857,OMCL,LOOSERS
858,OPEN,ACTIVES
859,OPK,GAINERS
860,OPK,ACTIVES
861,OR.PA,CAC40
862,OR.PA,DAX
863,ORA.PA,CAC40
864,ORA.PA,DAX
865,ORCL,SP500
866,ORCL,ACTIVES
867,ORGO,GAINERS
868,ORLY,NASDAQ
869,ORLY,SP500
870,OTGLY,LOOSERS
871,OTIS,SP500
872,OVV,GAINERS
873,OXY,GAINERS
874,OXY,SP500
875,OXY,ACTIVES
876,PAC,LOOSERS
877,PACB,GAINERS
878,PAX,LOOSERS
879,PAYC,SP500
880,PAYX,NASDAQ
881,PAYX,SP500
882,PBCT,ACTIVES
883,PBCT,SP500
884,PBR,ACTIVES
885,PBR-A,GAINERS
886,PCAR,NASDAQ
887,PCAR,SP500
888,PCCYF,LOOSERS
889,PCG,ACTIVES
890,PD,GAINERS
891,PDCE,GAINERS
892,PDD,NASDAQ
893,PDM,LOOSERS
894,PEAK,SP500
895,PEG,SP500
896,PEN,LOOSERS
897,PENN,ACTIVES
898,PENN,GAINERS
899,PEP,ACTIVES
900,PEP,NASDAQ
901,PEP,SP500
902,PFE,SP500
903,PFE,ACTIVES
904,PFE,TRENDING
905,PFG,SP500
906,PFSI,LOOSERS
907,PG,ACTIVES
908,PG,SP500
909,PG,DJI
910,PGR,SP500
911,PH,SP500
912,PHI,LOOSERS
913,PHM,SP500
914,PINS,ACTIVES
915,PINS,GAINERS
916,PKG,SP500
917,PKI,SP500
918,PLD,SP500
919,PLNT,LOOSERS
920,PLTR,ACTIVES
921,PLUG,GAINERS
922,PLUG,ACTIVES
923,PM,SP500
924,PNC,SP500
925,PNR,SP500
926,PNW,SP500
927,POAHY,GAINERS
928,POOL,SP500
929,POSH,GAINERS
930,PPG,SP500
931,PPL,ACTIVES
932,PPL,SP500
933,PRGO,SP500
934,PRLD,GAINERS
935,PRO,GAINERS
936,PRU,SP500
937,PSA,LOOSERS
938,PSA,SP500
939,PSX,SP500
940,PSXP,GAINERS
941,PTAIF,LOOSERS
942,PTON,GAINERS
943,PTON,NASDAQ
944,PTON,ACTIVES
945,PUB.PA,CAC40
946,PUB.PA,DAX
947,PUBGY,LOOSERS
948,PVH,SP500
949,PWR,SP500
950,PXD,SP500
951,PYPL,SP500
952,PYPL,NASDAQ
953,QCOM,ACTIVES
954,QCOM,NASDAQ
955,QCOM,SP500
956,QFIN,LOOSERS
957,QRVO,SP500
958,QS,GAINERS
959,QS,ACTIVES
960,RAAS,GAINERS
961,RARE,GAINERS
962,RCL,SP500
963,RCUS,GAINERS
964,RDFN,GAINERS
965,RE,SP500
966,RE,LOOSERS
967,REG,SP500
968,REGN,NASDAQ
969,REGN,SP500
970,RETA,GAINERS
971,RF,SP500
972,RF,ACTIVES
973,RH,GAINERS
974,RHI,SP500
975,RI.PA,DAX
976,RI.PA,CAC40
